{'loss': '0.03537', 'grad_norm': '0.05793', 'learning_rate': '3.666e-05', 'epoch': '2.452'}
{'loss': '0.03279', 'grad_norm': '0.1984', 'learning_rate':'3.655e-05', 'epoch': '2.453'}
{'loss': '0.01893', 'grad_norm': '0.0545', 'learning_rate':'3.644e-05', 'epoch': '2.455'}
{'loss': '0.01797', 'grad_norm': '0.1108', 'learning_rate':'3.633e-05', 'epoch': '2.457'}
{'loss': '0.02179', 'grad_norm': '0.2055', 'learning_rate':'3.622e-05', 'epoch': '2.458'}
{'loss': '0.02266', 'grad_norm': '0.1263', 'learning_rate':'3.611e-05', 'epoch': '2.46'}
{'loss': '0.0246', 'grad_norm': '0.1602', 'learning_rate': '3.6e-05', 'epoch': '2.462'}
{'loss': '0.01927', 'grad_norm': '0.0966', 'learning_rate':'3.588e-05', 'epoch': '2.463'}
{'loss': '0.0223', 'grad_norm': '0.2387', 'learning_rate': '3.577e-05', 'epoch': '2.465'}
{'loss': '0.02513', 'grad_norm': '0.1979', 'learning_rate':'3.566e-05', 'epoch': '2.467'}
{'loss': '0.02146', 'grad_norm': '0.09061', 'learning_rate': '3.555e-05', 'epoch': '2.468'}
{'loss': '0.03053', 'grad_norm': '0.3429', 'learning_rate':'3.544e-05', 'epoch': '2.47'}
{'loss': '0.01919', 'grad_norm': '0.1229', 'learning_rate':'3.533e-05', 'epoch': '2.472'}
{'loss': '0.01926', 'grad_norm': '0.04719', 'learning_rate': '3.522e-05', 'epoch': '2.473'}
{'loss': '0.02785', 'grad_norm': '0.412', 'learning_rate': '3.511e-05', 'epoch': '2.475'}
{'loss': '0.03052', 'grad_norm': '0.1877', 'learning_rate':'3.499e-05', 'epoch': '2.477'}
{'loss': '0.02384', 'grad_norm': '0.1702', 'learning_rate':'3.488e-05', 'epoch': '2.478'}
{'loss': '0.02206', 'grad_norm': '0.1798', 'learning_rate':'3.477e-05', 'epoch': '2.48'}
{'loss': '0.02721', 'grad_norm': '0.1519', 'learning_rate':'3.466e-05', 'epoch': '2.482'}
{'loss': '0.02472', 'grad_norm': '0.08404', 'learning_rate': '3.455e-05', 'epoch': '2.483'}
{'loss': '0.02934', 'grad_norm': '0.203', 'learning_rate': '3.444e-05', 'epoch': '2.485'}
{'loss': '0.0249', 'grad_norm': '0.08879', 'learning_rate':'3.433e-05', 'epoch': '2.487'}
{'loss': '0.02931', 'grad_norm': '0.1382', 'learning_rate':'3.422e-05', 'epoch': '2.488'}
{'loss': '0.02305', 'grad_norm': '0.2725', 'learning_rate':'3.41e-05', 'epoch': '2.49'}
{'loss': '0.02753', 'grad_norm': '0.2765', 'learning_rate':'3.399e-05', 'epoch': '2.492'}
{'loss': '0.02281', 'grad_norm': '0.1193', 'learning_rate':'3.388e-05', 'epoch': '2.493'}
{'loss': '0.03231', 'grad_norm': '0.09477', 'learning_rate': '3.377e-05', 'epoch': '2.495'}
{'loss': '0.02039', 'grad_norm': '0.05719', 'learning_rate': '3.366e-05', 'epoch': '2.497'}
{'loss': '0.02638', 'grad_norm': '0.1608', 'learning_rate':'3.355e-05', 'epoch': '2.498'}
{'loss': '0.02295', 'grad_norm': '0.1086', 'learning_rate':'3.344e-05', 'epoch': '2.5'}
{'loss': '0.02204', 'grad_norm': '0.2072', 'learning_rate':'3.333e-05', 'epoch': '2.502'}
{'loss': '0.02592', 'grad_norm': '0.1768', 'learning_rate':'3.321e-05', 'epoch': '2.503'}
{'loss': '0.02199', 'grad_norm': '0.1445', 'learning_rate':'3.31e-05', 'epoch': '2.505'}
{'loss': '0.02672', 'grad_norm': '0.205', 'learning_rate': '3.299e-05', 'epoch': '2.507'}
{'loss': '0.02137', 'grad_norm': '0.1215', 'learning_rate':'3.288e-05', 'epoch': '2.508'}
{'loss': '0.02064', 'grad_norm': '0.4255', 'learning_rate':'3.277e-05', 'epoch': '2.51'}
{'loss': '0.02994', 'grad_norm': '0.2746', 'learning_rate':'3.266e-05', 'epoch': '2.512'}
{'loss': '0.02536', 'grad_norm': '0.171', 'learning_rate': '3.255e-05', 'epoch': '2.513'}
{'loss': '0.02372', 'grad_norm': '0.0971', 'learning_rate':'3.244e-05', 'epoch': '2.515'}
