source_file,session_id,verified_count,total_turns,density_percent
gpt.md,1680,130,493,26.37
gpt.md,1799,107,449,23.83
gpt.md,870,91,1088,8.36
gpt.md,1698,89,299,29.77
gpt.md,1697,82,189,43.39
claude.md,725,72,889,8.10
claude.md,711,70,344,20.35
gpt.md,1688,68,264,25.76
claude.md,731,61,560,10.89
gpt.md,1709,61,130,46.92
claude.md,726,58,1010,5.74
gpt.md,1779,49,332,14.76
gpt.md,1151,47,278,16.91
gpt.md,1721,47,355,13.24
gpt.md,1742,44,189,23.28
gpt.md,1724,43,241,17.84
gpt.md,1679,42,95,44.21
gpt.md,1154,40,736,5.43
gpt.md,1684,40,317,12.62
claude.md,720,38,658,5.78
gpt.md,1656,38,130,29.23
gpt.md,1692,37,105,35.24
claude.md,710,35,168,20.83
gpt.md,1687,35,166,21.08
gpt.md,1660,34,198,17.17
gpt.md,1770,34,230,14.78
gpt.md,1798,34,141,24.11
gpt.md,1670,33,169,19.53
gpt.md,1156,32,580,5.52
claude.md,722,31,116,26.72
gpt.md,1682,31,126,24.60
gpt.md,1791,30,106,28.30
gpt.md,1731,29,181,16.02
gpt.md,1184,28,257,10.89
gpt.md,1722,28,128,21.88
gpt.md,1797,27,157,17.20
claude.md,734,26,209,12.44
gpt.md,1148,26,300,8.67
gpt.md,1809,26,145,17.93
claude.md,77,25,87,28.74
claude.md,689,25,175,14.29
claude.md,804,24,110,21.82
gpt.md,1529,23,144,15.97
gpt.md,1556,23,223,10.31
gpt.md,1159,22,185,11.89
gpt.md,1685,22,90,24.44
gpt.md,1715,22,57,38.60
gpt.md,1786,22,158,13.92
claude.md,732,21,94,22.34
gpt.md,1661,21,168,12.50
