file,info,role,explicit_invariant,canal_candidate
AGENT_IN_IDE,,agent,False,False
AGENT_IN_IDE,The,agent,True,True
AGENT_IN_IDE,Layer Mapping: LLM Output → IDE,agent,False,False
AGENT_IN_IDE,,agent,False,False
AGENT_IN_IDE,,agent,True,True
AGENT_IN_IDE,3.,user,True,True
AGENT_IN_IDE,Example: Complete,agent,False,False
AGENT_IN_IDE,1.,user,True,True
CHANGELOG_v0.3.0,Changelog v0.3.0 - Empirical Grounding & IDE,agent,True,True
CHANGELOG_v0.3.0,IDE,agent,True,True
META_EVIDENCE_CONVERSATION_20260119,THE,user,False,False
