2026-04-18T09:49:56.4104748Z ##[group]Run echo "Cleaning up..." && \
2026-04-18T09:49:56.4105067Z [36;1mecho "Cleaning up..." && \[0m
2026-04-18T09:49:56.4105406Z [36;1mmkdir -p "/home/runner/work/_temp/runtime-logs" && \[0m
2026-04-18T09:49:56.4106144Z [36;1mcurl -L -H "Content-Type: application/json" -H "Accept: application/json" --data '{"oid":'$GITHUB_REPOSITORY_OWNER_ID',"rid":'$GITHUB_REPOSITORY_ID',"wid":'$GITHUB_RUN_ID'}' \[0m
2026-04-18T09:49:56.4107675Z [36;1m  -H "Authorization: ***" -H "X-GitHub-Copilot-Cleanup-List: ***,***,***" \[0m
2026-04-18T09:49:56.4108355Z [36;1m  "https://api.individual.githubcopilot.com/agents/swe/agent/cleanup" > "/home/runner/work/_temp/runtime-logs/clean.log" 2>&1[0m
2026-04-18T09:49:56.4124364Z shell: /usr/bin/bash -e {0}
2026-04-18T09:49:56.4124629Z env:
2026-04-18T09:49:56.4124824Z   SHOULD_CONTINUE: true
2026-04-18T09:49:56.4125070Z   COPILOT_AGENT_START_TIME_SEC: 1776502524
2026-04-18T09:49:56.4125353Z   COPILOT_AGENT_TIMEOUT_MIN: 59
2026-04-18T09:49:56.4125697Z   COPILOT_API_URL: https://api.individual.githubcopilot.com
2026-04-18T09:49:56.4126093Z   COPILOT_AGENT_ACTION: task
2026-04-18T09:49:56.4126337Z   COPILOT_AGENT_ACTOR: aidoruao
2026-04-18T09:49:56.4126581Z   COPILOT_AGENT_ACTOR_ID: 174227749
2026-04-18T09:49:56.4126831Z   COPILOT_AGENT_ACTOR_TYPE: 
2026-04-18T09:49:56.4127229Z   COPILOT_AGENT_RUNTIME_VERSION: runtime-copilot-e3338eb1bc0ce0f7a9ad499b0190cf4c457de84c
2026-04-18T09:49:56.4127659Z   COPILOT_AGENT_BASE_COMMIT: main
2026-04-18T09:49:56.4128003Z   COPILOT_AGENT_BRANCH_NAME: copilot/begin-pr-commence-coding-tasks
2026-04-18T09:49:56.4128498Z   COPILOT_AGENT_CALLBACK_URL: https://api.individual.githubcopilot.com/agents/swe/agent
2026-04-18T09:49:56.4128961Z   COPILOT_AGENT_COMMIT_LOGIN: copilot-swe-agent[bot]
2026-04-18T09:49:56.4129345Z   COPILOT_AGENT_COMMIT_EMAIL: 198982749+Copilot@users.noreply.github.com
2026-04-18T09:49:56.4129692Z   COPILOT_AGENT_ISSUE_NUMBER: 0
2026-04-18T09:49:56.4130034Z   COPILOT_AGENT_JOB_ID: 174227749-1136600463-13c32a81-342e-42f9-a17f-924b6cf2de84
2026-04-18T09:49:56.4130579Z   COPILOT_AGENT_MODEL: sweagent-capi:claude-sonnet-4.6
2026-04-18T09:49:56.4130875Z   COPILOT_AGENT_PR_NUMBER: 
